Block Index,Storage Assignment (Mb) C = 1,Storage Assignment (Mb) C = 2,Storage Assignment (Mb) C = 3,Storage Assignment (Mb) C = 4,Storage Assignment (Mb) C = 5,Blockchain size (Mb)
643,8.25515,11.498212,16.362805,20.146377333333337,27.713522,45.402868
644,8.264920642857144,11.512572285714285,16.38404975,20.172976666666663,27.7508305,45.467123
645,8.273073285714286,11.52535657142857,16.4037815,20.198112,27.786773,45.531966
646,8.29310192857143,11.559153857142858,16.45823175,20.268625666666665,27.8894135,45.724727
647,8.3034125,11.576014,16.48491625,20.302951333333336,27.9390215,45.816421
648,8.308767571428572,11.584085142857141,16.4970615,20.318265333333336,27.960673,45.854446
649,8.3148155,11.593091,16.51050425,20.335159,27.9844685,45.895857
650,8.3221645,11.60505,16.52937825,20.359411333333338,28.0194775,45.960397
651,8.335906,11.623352,16.554521,20.389874666666664,28.060582,46.024244
652,8.34283992857143,11.633525857142859,16.56955475,20.408688333333338,28.0869555,46.069603
653,8.354852714285714,11.65072642857143,16.594537,20.439723,28.130095,46.142232
654,8.361229357142857,11.660183714285715,16.60861525,20.457395333333334,28.1549555,46.185361
655,8.581093142857142,11.935373285714286,16.9667935,20.880120333333334,28.706774,46.959922
656,8.58621307142857,11.943354142857142,16.97906575,20.895730333333336,28.7290595,46.999975
657,8.7350875,12.134865,17.23453125,21.200938333333337,29.1337525,47.596885
658,8.769690785714285,12.20087557142857,17.34765275,21.350701666666666,29.3567995,48.036587
659,8.779781428571429,12.216764857142858,17.37224,21.382054,29.401682,48.117768
660,8.793782642857142,12.240863285714285,17.41148425,21.433078333333334,29.4762665,48.259129
661,8.80805257142857,12.260152142857141,17.4383015,21.465751,29.52065,48.329394
662,8.817599,12.276854,17.4657365,21.501534,29.573129,48.42957
663,8.825959857142859,12.288871714285715,17.4832395,21.523303333333335,29.603431,48.480766
664,8.831395142857142,12.296867285714285,17.4950755,21.538126333333334,29.624228,48.51661
665,8.8378745,12.307586,17.51215325,21.56015,29.6561435,48.575961
666,8.844504357142858,12.316887714285714,17.52546275,21.576576666666664,29.6788045,48.613367
667,8.851231214285715,12.326409428571429,17.53917675,21.593551333333338,29.7023005,48.652495
668,8.8577315,12.335824,17.55296275,21.610737333333336,29.7262865,48.693295
669,8.863224571428571,12.344167142857142,17.565581,21.626680666666665,29.74888,48.733196
670,8.870941357142858,12.357201714285715,17.58659225,21.653896,29.7885035,48.807645
671,8.8757025,12.364751,17.59832375,21.668880333333338,29.8099935,48.846679
672,8.882694785714286,12.37554157142857,17.61481175,21.689799666666666,29.8397755,48.899855
673,8.8888575,12.384963,17.62912125,21.707911,29.8654905,48.945477
674,8.8956445,12.394599,17.64303075,21.725144333333336,29.8893715,48.985363
675,8.90273907142857,12.405133142857142,17.65872425,21.744850666666665,29.9171035,49.033517
676,8.90827457142857,12.413764142857142,17.6719985,21.761736333333335,29.941212,49.076854
677,8.9146235,12.424131,17.68839225,21.782817666666663,29.9716685,49.133105
678,8.92178207142857,12.434604142857141,17.70383725,21.802129666666666,29.9987145,49.179509
679,8.93956742857143,12.459992857142858,17.740631,21.847794,30.06212,49.285956
680,8.945307642857141,12.468545285714285,17.75340175,21.863845666666663,30.0847335,49.325327
681,8.952126214285714,12.47822942857143,17.76738425,21.881171333333334,30.1087455,49.365445
682,9.192599142857143,12.778378285714286,18.157047,22.340456,30.707274,50.200908
683,9.2016655,12.790731,18.17432925,22.361572333333335,30.7360585,50.246917
684,9.20899992857143,12.801986857142857,18.19146725,22.383285333333337,30.7669215,50.301817
685,9.214351142857142,12.810020285714286,18.203524,22.398471333333333,30.788366,50.339368
686,9.222783571428572,12.822222142857141,18.22138,22.420725,30.819415,50.39214
687,9.2333615,12.83715,18.24283275,22.447252666666667,30.8560925,50.453039
688,9.238859357142859,12.845519714285714,18.25551025,22.46328066666667,30.8788215,50.493245
689,9.26018392857143,12.876865857142858,18.30188875,22.521351,30.9602755,50.633547
690,9.267302928571429,12.886974857142858,18.31648275,22.53943333333333,30.9853345,50.675407
691,9.27229592857143,12.894816857142859,18.32859825,22.554872666666668,31.0074215,50.715293
692,9.281391357142859,12.907524714285714,18.34672475,22.57721366666667,31.0381915,50.765867
693,9.290588,12.921646,18.368233,22.604467333333332,31.076936,50.834812
694,9.297277,12.931288,18.3823045,22.621984,31.101343,50.876154
695,9.303577214285715,12.940754428571429,18.39652025,22.63989366666667,31.1266405,50.920481
696,9.309255857142858,12.949322714285714,18.409423,22.65616766666667,31.149657,50.960936
697,9.315073,12.957744,18.4217505,22.671533333333333,31.171099,50.997394
698,9.320485142857141,12.965987285714286,18.4342405,22.68732633333333,31.193498,51.03703
699,9.325998357142858,12.974486714285714,18.44721925,22.703789,31.2169285,51.078837
700,9.33709057142857,12.990093142857141,18.469597,22.73143333333333,31.255106,51.142036
701,9.337827785714286,12.990908571428571,18.47052975,22.732457333333333,31.2563125,51.143131
702,9.344470071428571,13.000234142857142,18.48388025,22.74893833333333,31.2790545,51.180697
703,9.35186007142857,13.010743142857141,18.49906775,22.767764666666668,31.3051585,51.224363
704,9.400007214285715,13.07470242857143,18.58674525,22.873889666666667,31.4481785,51.445733
705,9.406168,13.083655,18.5998855,22.890287,31.47109,51.484818
706,9.411019214285714,13.091199428571429,18.61146975,22.905013333333333,31.4921005,51.522523
707,9.416566428571429,13.099642857142857,18.6242575,22.92118,31.515025,51.56307
708,9.423193071428571,13.109606142857142,18.63922575,22.940041,31.5416715,51.609783
709,9.429786142857141,13.119664285714286,18.6544815,22.959339333333332,31.569055,51.658294
710,9.436935071428572,13.130100142857142,18.66984775,22.97854033333333,31.5959255,51.704311
711,9.442383285714286,13.138729571428572,18.683249,22.995653,31.620461,51.748848
712,9.448442714285715,13.14767842857143,18.696532,23.012307,31.643857,51.7893
713,9.494081,13.234552,18.8452585,23.20914133333333,31.936907,52.366594
714,9.505901785714286,13.251987571428572,18.87111625,23.241549666666668,31.9824165,52.445201
715,9.512094571428571,13.261401142857142,18.885361,23.259552,32.007934,52.490292
716,9.520009428571429,13.275046857142858,18.907603,23.28848,32.050234,52.570524
717,9.526406214285714,13.28460542857143,18.92190425,23.30647,32.0756015,52.614789
718,9.527036142857142,13.285306285714286,18.9227115,23.30736,32.076657,52.615782
719,9.536054214285715,13.297956428571428,18.94080975,23.32969566666667,32.1074675,52.666631
720,9.544501714285715,13.310364428571429,18.9591585,23.352665,32.139678,52.722078
721,9.5522325,13.322836,18.97874125,23.377778666666668,32.1758535,52.788449
722,9.55769657142857,13.331240142857142,18.9915555,23.394023,32.198958,52.82961
723,9.563581928571429,13.340051857142859,19.00475675,23.41063833333333,32.2224015,52.870579
724,9.569020285714286,13.34841957142857,19.0175185,23.42681766666667,32.245416,52.91159
725,9.575988785714285,13.35835757142857,19.03191075,23.44467433333333,32.2702015,52.953163
726,9.581217785714285,13.366178571428572,19.04361975,23.45940733333333,32.2909825,52.989451
727,9.587510071428571,13.375296142857142,19.05697525,23.476059,32.3142265,53.029005
728,9.593239214285715,13.38380842857143,19.06966225,23.491993,32.3366545,53.067969
729,9.598294142857142,13.391768285714285,19.0819795,23.50769933333333,32.359139,53.108638
730,9.604742285714286,13.40148857142857,19.096608,23.526145333333332,32.38522,53.154448
731,9.611049071428571,13.410692142857142,19.11015675,23.54307366666667,32.4089075,53.195003
732,9.618608357142858,13.421583714285715,19.12604675,23.56285133333333,32.4364605,53.241655
733,9.625428071428571,13.431344142857142,19.14021825,23.580453666666667,32.4609245,53.282825
734,9.63139307142857,13.440495142857142,19.15414825,23.598100666666667,32.4860055,53.327429
735,9.638166071428572,13.450104142857143,19.16801125,23.615272333333333,32.5097945,53.367133
736,9.645674714285715,13.461077428571429,19.1841815,23.635484666666667,32.538091,53.415638
737,9.653219785714285,13.473403571428571,19.20367925,23.660560333333333,32.5743225,53.482573
738,9.6613435,13.485492,19.22171475,23.683221333333332,32.6062345,53.538079
739,9.667447785714286,13.494865571428571,19.23599225,23.701313,32.6319545,53.583849
740,9.67364207142857,13.504155142857142,19.24992475,23.718856666666667,32.6567205,53.627183
741,9.681648928571429,13.515651857142858,19.26665625,23.739659666666668,32.6856665,53.676041
742,9.69038642857143,13.529074857142858,19.2871075,23.765577333333333,32.722517,53.741638
743,9.695518642857142,13.537414285714286,19.30025775,23.78246933333333,32.7468925,53.786539
744,9.703982,13.551207,19.3220445,23.810473666666667,32.787332,53.86115
745,9.709946785714285,13.560616571428572,19.33662125,23.829069333333333,32.8139655,53.909377
746,9.714508357142858,13.567734714285715,19.34757425,23.843005,32.8338665,53.945169
747,10.057323142857141,13.950197285714285,19.7895085,24.331195,33.414568,54.500238
748,10.066069785714285,13.963202571428571,19.80890175,24.35555666666667,33.4488665,54.559859
749,10.074807142857141,13.976739285714286,19.8296375,24.381891666666668,33.4864,54.62705
750,10.080726214285715,13.98594842857143,19.84378175,24.399874333333333,33.5120595,54.673111
751,10.0899225,14.000368,19.86603625,24.428222666666667,33.5525955,54.746237
752,10.096758571428571,14.011762142857142,19.8842675,24.45177166666667,33.58678,54.81005
753,10.1033595,14.021308,19.89823075,24.469170666666667,33.6110505,54.851279
754,10.110535285714285,14.031972571428572,19.9141285,24.48913866666667,33.639159,54.900122
755,10.117759142857143,14.042846285714285,19.930477,24.50974533333333,33.668282,54.95122
756,10.123512642857142,14.052296285714286,19.94547175,24.52905266666667,33.6962145,55.002971
757,10.133605928571429,14.068112857142859,19.96987325,24.56013133333333,33.7406475,55.083097
758,10.472641857142857,14.445933714285715,20.4058715,25.041378666666667,34.312393,55.626086
759,10.481117142857142,14.458974285714286,20.42576,25.066593333333334,34.34826,55.69
760,10.4900655,14.47196,20.44480175,25.09034533333333,34.3814325,55.746523
761,10.496335214285715,14.48141942857143,20.45904575,25.108310666666668,34.4068405,55.791179
762,10.504327,14.492598,20.4750045,25.127987333333333,34.433953,55.835794
763,10.511666142857141,14.503671285714285,20.491679,25.14901833333333,34.463697,55.888072
764,10.51816442857143,14.513013857142859,20.505288,25.16594566666667,34.487261,55.927892
765,10.527650928571429,14.527952857142859,20.52840575,25.195424666666668,34.5294625,56.004227
766,10.53340092857143,14.537019857142859,20.54244825,25.213337,34.5551145,56.050665
767,10.539555428571429,14.547096857142858,20.558409,25.233874,34.584804,56.10558
768,10.546396571428572,14.557260142857142,20.5735555,25.252896333333332,34.611578,56.15209
769,10.555768142857142,14.572162285714285,20.5967535,25.28254666666667,34.654133,56.229518
770,10.56185942857143,14.581459857142859,20.6108605,25.300394333333333,34.679462,56.274406
771,10.567345571428572,14.590006142857142,20.623997,25.317101,34.703309,56.317248
772,10.573419785714286,14.59955157142857,20.63874925,25.335903,34.7302105,56.365845
773,10.580697285714285,14.610328571428571,20.6547755,25.356012,34.758485,56.414838
774,10.586347785714285,14.61909257142857,20.66820975,25.373078666666668,34.7828165,56.458427
775,10.59371642857143,14.630015857142858,20.684465,25.393481,34.811513,56.508192
776,10.601920214285714,14.64382642857143,20.70668575,25.422243,34.8533575,56.586687
777,10.607897571428571,14.652662142857142,20.719809,25.438701,34.876485,56.626704
778,10.613444214285714,14.661328428571428,20.73315475,25.455686333333333,34.9007495,56.670379
779,10.619931928571429,14.670928857142858,20.74742425,25.47358733333333,34.9259135,56.713957
780,10.626879714285714,14.68157242857143,20.7636115,25.494086333333332,34.955036,56.765698
781,10.634701142857141,14.693232285714286,20.781029,25.515982,34.985888,56.819436
782,10.642381357142858,14.704612714285714,20.79795975,25.53722966666667,35.0157695,56.871239
783,10.647907214285715,14.713073428571429,20.81082275,25.553516666666667,35.0389045,56.912327
784,10.66161092857143,14.732355857142858,20.83847325,25.58767566666667,35.0860805,56.990429
785,10.66775607142857,14.741474142857141,20.85205125,25.60472233333333,35.1100645,57.032053
786,10.673363785714285,14.749901571428572,20.86470825,25.620669,35.1325905,57.071529
787,10.679753,14.759342,20.8787255,25.638246,35.157287,57.114246
788,10.689653214285714,14.773829428571428,20.90009375,25.664966,35.1947105,57.178467
789,10.694726928571429,14.781577857142858,20.91185425,25.679847,35.2158325,57.215913
790,10.701547857142858,14.791277714285714,20.9258725,25.697224,35.239927,57.256218
791,10.709611571428571,14.803520142857142,20.944383,25.720609666666668,35.273063,57.31472
792,10.718645642857142,14.815833285714286,20.96161475,25.741667,35.3017715,57.360627
793,10.725030142857142,14.825677285714285,20.976648,25.76073633333333,35.328913,57.40906
794,10.732871142857142,14.838122285714286,20.995999,25.785458666666667,35.364378,57.473516
795,10.741364785714286,14.850466571428571,21.01411925,25.80807133333333,35.3959755,57.527425
796,10.748656214285715,14.860591428571428,21.02849425,25.825752,35.4202675,57.567093
797,10.756532785714285,14.87285657142857,21.04734225,25.84972,35.4544755,57.628533
798,10.763812714285715,14.88290342857143,21.0615395,25.867145333333333,35.478357,57.66727
799,11.019029214285714,15.20773442857143,21.49079225,26.377615,36.1512605,58.641873
800,11.026484071428571,15.218517142857142,21.50656675,26.397272,36.1786825,58.688463
801,11.03359442857143,15.230386857142856,21.5255755,26.421833333333332,36.214349,58.755094
802,11.261496857142859,15.512212714285715,21.8882865,26.847455,36.765792,59.510022
803,11.267852571428572,15.521419142857143,21.901769,26.864263333333334,36.789252,59.549932
804,11.273160571428571,15.529466142857144,21.9139245,26.879614333333333,36.810994,59.588278
805,11.279361357142859,15.538870714285714,21.92813475,26.897562333333333,36.8364175,59.633131
806,11.290650142857142,15.555220285714286,21.9520755,26.92740733333333,36.878071,59.703982
807,11.297973357142858,15.566814714285714,21.97007675,26.95039166666667,36.9110215,59.763779
808,11.303560928571429,15.575090857142856,21.98238575,26.965837333333333,36.9327405,59.801419
809,11.30977757142857,15.584010142857144,21.995359,26.98196366666667,36.955173,59.839256
810,11.440482857142857,15.745320714285715,22.2025775,27.224888333333332,37.26951,60.26773
811,11.447947785714286,15.75744857142857,22.22169975,27.249450666666668,37.3049525,60.333011
812,11.453440857142859,15.765472714285714,22.2335205,27.26422433333333,37.325632,60.368446
813,11.459458571428572,15.774407142857143,22.24683,27.28093666666667,37.34915,60.40928
814,11.467562285714285,15.78771157142857,22.2679355,27.308109666666667,37.388458,60.48209
815,11.473866142857142,15.796886285714285,22.2814165,27.32494,37.411987,60.522282
